id;name;email;subject;message;ip_address;submitted_at;is_handled
1;suddenly;"O>@WV>P.)";yuck;../fake-data/blob/hipster.txt;once forager flawless;2026-06-02T13:50:20;true
2;assail stack;"v@:FVq.h|.C";noted;../fake-data/blob/hipster.txt;unto;2026-06-02T07:03:01;false
3;schnitzel successfully geez;"&6m@O%\TH_.awKu}|";yippee devastation how;../fake-data/blob/hipster.txt;adjourn;2026-06-02T00:17:46;true
4;intently;"d4_DN@J5<:Gh.mgo";section phooey;../fake-data/blob/hipster.txt;deed industrialize;2026-06-02T07:31:13;false
5;dulcimer large rejigger;"Em@tqT.\U6&";deduction preregister;../fake-data/blob/hipster.txt;pants that;2026-06-02T19:23:59;true
6;tensely;"Tm`@;mv|..)";simple;../fake-data/blob/hipster.txt;nicely cannon;2026-06-02T04:30:08;false
7;snappy briefly;"~MCVD@mPA.10Z9(";litter qua;../fake-data/blob/hipster.txt;status hypothesize rightfully;2026-06-02T10:50:45;false
8;outside around;"QgO;?@B.I";cross-contamination overwork;../fake-data/blob/hipster.txt;cinema tensely intently;2026-06-02T02:55:40;true
9;great at;"B49TXP@Q.M3&Y0J";easy treble concerning;../fake-data/blob/hipster.txt;broadcast innocently unselfish;2026-06-02T14:42:23;true
10;unusual um gah;"2Kj>r@!uROY.uN";obsess;../fake-data/blob/hipster.txt;beautifully;2026-06-01T23:34:50;false
