id;from_email;from_name;reply_to;to_email;cc;bcc;subject;body;attachment_ref;status;failure_type;failure_reason;queued_on;sent_at;retry_count
1;around pace;quietly except bowed;wrathful;barring;sew as;reconsideration;cap promise inside;../fake-data/blob/hipster.txt;put between;RETRYING;sway familiarize phew;absentmindedly once about;2026-06-02T10:59:00;2026-06-02T12:29:33;19187
2;velvety lieu likewise;ew;pish baptise seriously;very adventurously infamous;repurpose imagineer haircut;lest insecure;amused rim;../fake-data/blob/hipster.txt;markup;SENT;usefully newsstand;fax surge;2026-06-02T06:51:39;2026-06-02T19:09:03;29640
3;ethical oof somber;yuck frank;worriedly;apostrophize hence;frightened bracelet aha;readily joshingly;circa stealthily partially;../fake-data/blob/hipster.txt;oh unconscious eek;FAILED;technician near fathom;blacken phooey;2026-06-02T01:44:10;2026-06-02T05:54:27;17659
4;defenseless;famously huzzah;reboot;but muscat wrongly;abaft;annually;whoa makeover uselessly;../fake-data/blob/hipster.txt;consequently;RETRYING;unless midst reckless;helpless fund;2026-06-01T21:02:21;2026-06-02T19:32:47;30773
5;along;nervously mid ugh;by meanwhile quaver;pharmacopoeia yahoo;during stupendous cinder;indeed shout;between;../fake-data/blob/hipster.txt;thump;FAILED;burdensome pearl boo;given;2026-06-02T08:59:40;2026-06-02T01:17:55;17874
6;venture;abaft;following;ack;tinted apropos;er lest;considering tempting;../fake-data/blob/hipster.txt;qua;FAILED;round fraternise cardboard;yet hunger;2026-06-02T15:56:24;2026-06-02T15:50:55;13764
7;once repossess;poorly ha;drat encode;geez frank;yuck;even hastily;whoa yuck;../fake-data/blob/hipster.txt;though;PENDING;cellar heavily;lined diligent;2026-06-02T05:41:31;2026-06-02T01:58:56;21703
8;because sauerkraut;cow er;cautiously;ick subexpression;meanwhile to gah;ick even clearly;quarrelsomely indeed;../fake-data/blob/hipster.txt;oof;SENT;carelessly;zesty carp folklore;2026-06-02T03:58:37;2026-06-02T13:34:40;3777
9;rise;euphonium;kindheartedly assail;within;wherever stake;quarrelsomely regularly;turret;../fake-data/blob/hipster.txt;before flat;PENDING;whoa;equatorial evince;2026-06-02T10:28:57;2026-06-02T16:01:03;22516
10;where following abaft;ick thoroughly;yowza;soggy;gah;rapidly masterpiece essay;helpless battle;../fake-data/blob/hipster.txt;slope provider pish;FAILED;expatiate all;hm but;2026-06-02T02:59:24;2026-06-02T20:23:56;22945
