id;unique_identifier;institute_name;department_name;email;additional_email;address;shipping_address;city;state;district;zip;region;phone;mobile;affiliation;network_tier;site_type;funding_source;testing_volume;pepfar_id;latitude;longitude;lab_director_name;lab_director_email;contact_person_name;contact_person_email;contact_person_phone;status
1;mispronounce;neatly bicycle;tarry gut;"$G2T@5r.)G.<,";"1@|r5ztD.^030%\";bogus;beneath;Glovercester;ack enormously mmm;yuck;gastropod upon;handful concrete lest;454.709.3647;yuck completion experience;yippee now;clearly properly;till;nor whenever ditch;9568;after;25496.73;16464.25;wherever;"PI(Aw6@{in..YyOeL";darling anesthetize;"iD@Ub7z.n%/F";forgather;PENDING
2;typeface vibrant team;blindly likewise;broadly geez;"m1(_@G5Lp.Y5$";"B@'j#.g";pfft;apostrophize international extent;West Adrianaton;official;opposite;twin;worriedly aching friendly;1-671-662-6357 x17153;questionably;knottily;afterwards of versus;derby flimsy;whoa under;8827;frank;3755.55;5734.92;godfather detain;"Ej@8\z{#o.(";huzzah;"c42@yr.Iq'm";pfft airport ha;ACTIVE
3;hexagon airbrush cinema;hence sell aw;pasta zebra;"O4/@b,0.QY";"[#c@=|\.4S";hence;excepting homely reflate;Boylechester;right;ugh once privilege;hm;larva unfurl skean;583-322-1659;enraged until;narrate;whenever;round admonish toward;grave qualified oh;2114;meh ack;9871.92;26216.61;mundane;"v]@P.5HKH";after;"p()YE@+q^.|rE{&";whoever greedy grouper;ACTIVE
4;phew manner unfortunate;unless modulo hence;miserably behind large;">l@o`Kc.?M3tJ";"Y@z.t";object;steep;Robelville;handful absentmindedly scholarship;ultimately;greatly skyscraper whisper;waterspout;1-994-962-9942 x713;swine well;schnitzel;beloved briefly er;black-and-white incidentally until;rise archive but;29257;severe necessary;14873.56;30601.89;once lazy;"*~)H@N.rKbX%)";bleakly;"Y3(W@X!L.M7?}}";gut near delight;INACTIVE
5;sleepily insignificant quip;oddly;passionate;"]@kv.!;}<";"`}@SEBZU8.V.1O`";precious intensely;till dampen;West Elizabethville;utterly that whose;wherever;among;electrify;414-745-0208;scowl;stuff;zowie torn;monthly psst how;foolhardy properly valley;52;sadly;23636.59;28497.61;gad but saw;";P@x.JTrL";unhealthy indeed;"-DtS%S@viz|%.o";questionable forager who;PENDING
6;evenly at;meh whenever;mushy likewise inasmuch;"'>u@~eD.r't?W";"98@a}y&.!gj!";including wherever;perspire wholly;Romagueraboro;passport;intensely judgementally;chromakey;minus meanwhile;1-493-717-2668 x9527;thread fooey;wound jealous;forceful spirit quicker;wetly busily;alongside;5184;furthermore uh-huh;10889.33;23834.35;throughout daily underneath;"b--@-.r=a";down;".jL\@*z.`";curry unselfish huzzah;PENDING
7;generously;rosemary descendant correctly;beloved chubby;"p3@r_Mb0f.la}{/l";"b@=.VVh";palatable knottily;aboard deeply across;Belindahaven;rival issue;oh worth circa;yuck;the loosely bathrobe;1-989-829-4466 x7218;grave;zany;indeed armoire;hydrant;wide;13963;wafer terrorise;8876.52;7745.05;display;"cD@QjISj.}";concerned indeed;"TL@16B'.f#";sharply since;ACTIVE
8;rejoin;knife;before failing;"F&t.^@_C.[K";"l#Ld=5@{a((a.,bQjO_";unhealthy incidentally uh-huh;blissfully gloom;Marianeborough;mmm;offensively dispose that;mouser;storyboard;1-431-388-5131 x159;yahoo solemnly;busy almost into;mountain wasteful eyeglasses;indeed numb thorny;at out;14559;smooth zany;9528.91;29959.69;exaggerate gracious;"aT!A(@=/O.OBGTi";insolence likely;"-qQq)!@C6k.0e1QZH";ick unaware obediently;ACTIVE
9;whoever;soon coast;instead;"v@\Y.+>S}U";"zX,-c@Q;[SJ]._o*r]";when essay;stuff;Carmenfort;aboard;flowery;as;far-off thunderbolt;333.652.7219 x3716;insolence;off astride pfft;pro;nor pfft aw;windy for;22178;who yahoo;8847.69;4664.24;for favorable equally;"B:xk@!Xq.Orl*lI";ajar sweetly clamour;"'q[zk@9w7KI.9a";fatally winding;PENDING
10;beep by;phooey amid ack;stuff;"q`X@~03.cZ";"b@S'(Mn`.6";unless unfinished huzzah;wherever;Bayerstad;geez;how commonly;sleepily;fooey preside;646-913-7872;a dowse;boohoo what once;expensive;enraged zowie;restaurant;13521;fund meh uncommon;15403.25;10880.24;last;"+gU@FTD8)5.3";going;"AI\a@Ja.8D7";throughout that;PENDING
